name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;335;0;311;3151;1188;3151;1140;0
header;32;139;32;184;1962;184;1962;139
A;1133;391;1133;419;1158;419;1158;391
A;774;993;774;1012;789;1012;789;993
B;1133;1060;1133;1088;1154;1088;1154;1060
C;1126;1732;1126;1761;1146;1761;1146;1732
D;876;1764;876;1791;910;1791;910;1764
A;502;1797;502;1805;510;1805;510;1797
A;403;1905;403;1923;418;1923;418;1905
A;442;2105;442;2117;449;2117;449;2105
D;1122;2405;1122;2432;1142;2432;1142;2405
A;1098;2563;1098;2567;1104;2567;1104;2563
B;1000;2693;1000;2712;1015;2712;1015;2693
A;512;2924;512;2924;512;2924;512;2924
