name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;39;0;54;3151;1185;3151;1208;0
header;356;189;356;222;2000;222;2000;189
A;1163;261;1163;287;1185;287;1185;261
A;970;495;970;505;977;505;977;495
A;1140;1008;1140;1018;1146;1018;1146;1008
A;984;1053;984;1065;991;1065;991;1053
B;1162;1220;1162;1247;1184;1247;1184;1220
B;520;1505;520;1523;536;1523;536;1505
C;1156;1906;1156;1935;1177;1935;1177;1906
D;1157;2583;1157;2610;1180;2610;1180;2583
B;940;2843;940;2861;955;2861;955;2843
B;847;2890;847;2908;861;2908;861;2890
A;754;3027;754;3028;754;3028;754;3027
