name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;267;0;385;3151;1055;3151;1031;0
header;833;186;833;224;1825;224;1825;186
A;998;243;998;271;1017;271;1017;243
A;889;384;889;390;895;390;895;384
A;609;569;609;571;614;571;614;569
D;779;745;779;770;809;770;809;745
B;1003;918;1003;946;1022;946;1022;918
A;993;1033;993;1033;993;1033;993;1033
A;971;1162;971;1186;985;1186;985;1162
A;364;1260;364;1263;371;1263;371;1260
A;408;1298;408;1298;408;1298;408;1298
C;1005;1600;1005;1631;1027;1631;1027;1600
D;785;1785;785;1810;813;1810;813;1785
A;868;2294;868;2319;885;2319;885;2294
D;1016;2475;1016;2502;1035;2502;1035;2475
A;518;2973;518;2974;518;2974;518;2973
